prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
33/9-6 DELTA,2012,9,0.00003,0.00000,0.00000,0.00000,0.00003,0.00002,44576
33/9-6 DELTA,2012,10,0.00235,0.00000,0.00000,0.00000,0.00235,0.00040,44576
33/9-6 DELTA,2012,11,0.00147,0.00000,0.00000,0.00000,0.00147,0.00035,44576
33/9-6 DELTA,2012,12,0.00087,0.00000,0.00000,0.00000,0.00087,0.00021,44576
33/9-6 DELTA,2013,1,0.00033,0.00000,0.00000,0.00000,0.00033,0.00010,44576
33/9-6 DELTA,2013,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2013,3,0.00071,0.00000,0.00000,0.00000,0.00071,0.00017,44576
33/9-6 DELTA,2013,4,0.00063,0.00000,0.00000,0.00000,0.00063,0.00016,44576
33/9-6 DELTA,2013,5,0.00026,0.00000,0.00000,0.00000,0.00026,0.00009,44576
33/9-6 DELTA,2013,6,0.00034,0.00000,0.00000,0.00000,0.00034,0.00010,44576
33/9-6 DELTA,2013,7,0.00026,0.00000,0.00000,0.00000,0.00026,0.00008,44576
33/9-6 DELTA,2013,8,0.00042,0.00000,0.00000,0.00000,0.00042,0.00000,44576
33/9-6 DELTA,2013,9,0.00066,0.00000,0.00000,0.00000,0.00066,0.00000,44576
33/9-6 DELTA,2013,10,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,44576
33/9-6 DELTA,2013,11,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2013,12,0.00074,0.00000,0.00000,0.00000,0.00074,0.00000,44576
33/9-6 DELTA,2014,1,0.00068,0.00000,0.00000,0.00000,0.00068,0.00001,44576
